"UID","Name","Documentation"
"_19_0_4_6d8019d_1618762989365_936788_2353", "SAF_F2_SCYD", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Capability Definition Viewpoint'>System Capability Definition Viewpoint</A><BR>Purpose:<BR>The System Capability Definition Viewpoint defines a taxonomy of Capabilities including composition;specialization;and dependency relationships between System Capabilities. Note: Connecting capabilities to requirements creates a linkage between two different types of conceptual problem description that helps manage the complexity of the system. At a high level of abstraction;capabilities allow an system architect to plan phases of the system evolution without the need to bear details in mind. Those details will not be lost if they are captured as requirements and traced to a corresponding capability. There is one key difference between capabilities and requirements: Requirements come from different sources;sponsored by different stakeholders;and are usually captured at different levels of abstraction. In contrast;capabilities should always represent a coherent and consolidated view of the system.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring System Capabilities;their composition;specialization;and dependency relationships. Note: The relationship to operational capabilities shall be shown if applicable.</li><li>A tabular format listing System Capabilities;their composition;specialisation;and dependency relationships;as well as relations to operational capabilities.</li></UL></html>"
"_2024x_26f0132_1718444691784_101759_22771", "SAF_F2_SCYD_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Capability Definition Viewpoint'>System Capability Definition Viewpoint</A><BR>Purpose:<BR>The System Capability Definition Viewpoint defines a taxonomy of Capabilities including composition;specialization;and dependency relationships between System Capabilities. Note: Connecting capabilities to requirements creates a linkage between two different types of conceptual problem description that helps manage the complexity of the system. At a high level of abstraction;capabilities allow an system architect to plan phases of the system evolution without the need to bear details in mind. Those details will not be lost if they are captured as requirements and traced to a corresponding capability. There is one key difference between capabilities and requirements: Requirements come from different sources;sponsored by different stakeholders;and are usually captured at different levels of abstraction. In contrast;capabilities should always represent a coherent and consolidated view of the system.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring System Capabilities;their composition;specialization;and dependency relationships. Note: The relationship to operational capabilities shall be shown if applicable.</li><li>A tabular format listing System Capabilities;their composition;specialisation;and dependency relationships;as well as relations to operational capabilities.</li></UL></html>"
"_19_0_4_26f0132_1631267986737_158302_36", "SAF_F2_SDIK", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Domain Item Kind Viewpoint'>System Domain Item Kind Viewpoint</A><BR>Purpose:<BR>The System Domain Item Kind Viewpoint captures system wide concepts and collects type definitions for any exchanged item;e.g.;information;material;or energy;of the Functional and Logical domain. Its purpose is to define these item types and their relationships. Furthermore;the System Domain Item Kind Viewpoint specifies the data types;entity types;related value types;and units that are used by the SOI. Note: Domain Item Kinds are used as types of function input and output in the Functional Domain;and for types of interfaces in the Logical Domain. They specify what is to be exchanged but not how.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring Domain Item Kinds and their relationships in terms of generalization;composition;or general association.  Note: Domain Item Kinds are managed in the domain knowledge package of the SOI;the Domain Item Kinds are visible and usable to all sub elements of the SOI. Domain Item Kinds shall be value types or blocks. </li><li>A tabular format listing the Domain Item Kinds;and their relationships.</li></UL></html>"
"_2024x_26f0132_1718444573319_748914_22693", "SAF_F2_SDIK_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Domain Item Kind Viewpoint'>System Domain Item Kind Viewpoint</A><BR>Purpose:<BR>The System Domain Item Kind Viewpoint captures system wide concepts and collects type definitions for any exchanged item;e.g.;information;material;or energy;of the Functional and Logical domain. Its purpose is to define these item types and their relationships. Furthermore;the System Domain Item Kind Viewpoint specifies the data types;entity types;related value types;and units that are used by the SOI. Note: Domain Item Kinds are used as types of function input and output in the Functional Domain;and for types of interfaces in the Logical Domain. They specify what is to be exchanged but not how.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring Domain Item Kinds and their relationships in terms of generalization;composition;or general association.  Note: Domain Item Kinds are managed in the domain knowledge package of the SOI;the Domain Item Kinds are visible and usable to all sub elements of the SOI. Domain Item Kinds shall be value types or blocks. </li><li>A tabular format listing the Domain Item Kinds;and their relationships.</li></UL></html>"
"_19_0_4_26f0132_1629448019169_887442_9417", "SAF_F2_SFBS", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Functional Breakdown Structure Viewpoint'>System Functional Breakdown Structure Viewpoint</A><BR>Purpose:<BR>The System Functional Breakdown Structure Viewpoint defines the structured;modular functional breakdown of the SOI beginning with System Processes;over identified System Functions further refined down to System Partial Functions. The reuse of System Functions;and System Partial Functions over Function Trees of the SOI is facilitated. <BR>Presentations:<BR> <UL><li>One or more more block definition diagrams (BDD) featuring activities representing System Processes;System Functions;System Partial Functions;and their aggregation composing the functional breakdown structure.</li><li>Tool specific analysis diagram featuring the relationships between System Processes;System Functions;and System Partial Functions.</li></UL></html>"
"_2021x_2_6d8019d_1677616004198_497557_24505", "SAF_F3_SFRE", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Functional Refinement Viewpoint'>System Functional Refinement Viewpoint</A><BR>Purpose:<BR>The System Functional Refinement Viewpoint analyses decomposition of System Functions into System Partial Functions in order achieve understanding and agreement about the System functions sufficient to derive system  requirements.<BR>Presentation:<BR>Activity Diagram featuring System Partial Functions;functional exchange between partial functions. There are explicitely no Swimlanes and no allocations to structure.</html>"
"_19_0_4_6d8019d_1617380277228_633159_552", "SAF_F3_SPRO", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Process Viewpoint'>System Process Viewpoint</A><BR>Purpose:<BR>The System Process Viewpoint provides the functional representation of the system using a black-box approach * the representation of the SOI and all Context Elements * the System Functions the SOI shall be able to perform * the Context Functions the Context Elements are expected to perform * the exchange between SOI System Functions and Context Functions of Context Elements * the functional flows crossing the boundary between SOI and Context Elements<BR>Presentations:<BR> <UL><li>An activity diagram featuring the ordered execution of System Process Actions. The activity diagram swim lanes are typed with Context Element usage and SOI usage from the same System Context.  Note: In order to improve the clarity of presentation it may be appropriate to use several activity diagrams for one System Process.</li><li>A tabular format listing all identified System Functions;the System Processes in which they appear;and the Comtext Exchange with the Context Functions.</li></UL></html>"
"_2024x_26f0132_1718444307071_150416_22623", "SAF_F3_SPRO_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Process Viewpoint'>System Process Viewpoint</A><BR>Purpose:<BR>The System Process Viewpoint provides the functional representation of the system using a black-box approach * the representation of the SOI and all Context Elements * the System Functions the SOI shall be able to perform * the Context Functions the Context Elements are expected to perform * the exchange between SOI System Functions and Context Functions of Context Elements * the functional flows crossing the boundary between SOI and Context Elements<BR>Presentations:<BR> <UL><li>An activity diagram featuring the ordered execution of System Process Actions. The activity diagram swim lanes are typed with Context Element usage and SOI usage from the same System Context.  Note: In order to improve the clarity of presentation it may be appropriate to use several activity diagrams for one System Process.</li><li>A tabular format listing all identified System Functions;the System Processes in which they appear;and the Comtext Exchange with the Context Functions.</li></UL></html>"
"_19_0_4_6d8019d_1627582668863_723808_2445", "SAF_F3_SSTA", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System State Viewpoint'>System State Viewpoint</A><BR>Purpose:<BR>The System State Viewpoint defines the conditions of the SOI or parts of thereof that constrain the execution of System Functions. System States are used as pre- or post-condition of System Use Cases;and as constraints within the definition of System Functions to specifying valid transitions. Valid transitions between System States and the conditions for transitioning are specified in system wide concepts captured in System Requirements.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring states;and state transitions.  Note: References to model elements that are dependent of states;or transitions shall be shown as callout;or compartment notation.</li><li>A tabular format listing states;state transitions;and the conditons to be fullfilled before the transition will occur. References to model elements that are dependent of states (Domain Item Kinds;System Functions;System Use Cases;etc.);or transitions shall be shown in the table.</li></UL></html>"
"_2024x_26f0132_1718444107324_646747_22569", "SAF_F3_SSTA_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System State Viewpoint'>System State Viewpoint</A><BR>Purpose:<BR>The System State Viewpoint defines the conditions of the SOI or parts of thereof that constrain the execution of System Functions. System States are used as pre- or post-condition of System Use Cases;and as constraints within the definition of System Functions to specifying valid transitions. Valid transitions between System States and the conditions for transitioning are specified in system wide concepts captured in System Requirements.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring states;and state transitions.  Note: References to model elements that are dependent of states;or transitions shall be shown as callout;or compartment notation.</li><li>A tabular format listing states;state transitions;and the conditons to be fullfilled before the transition will occur. References to model elements that are dependent of states (Domain Item Kinds;System Functions;System Use Cases;etc.);or transitions shall be shown in the table.</li></UL></html>"
"_19_0_4_26f0132_1626791693357_994866_3136", "SAF_F4_SCXI", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Context Interaction Viewpoint'>System Context Interaction Viewpoint</A><BR>Purpose:<BR>The System Context Interaction Viewpoint describes the System external behavior based on the exchange between Logical SOI and Logical Context Elements Usage in a given System Context. It depicts the sequence of interactions between the Logical SOI;the Context Elements and the exchanged Domain Item Kinds needed to accomplish a given System Process.  Note: The System Context Interaction Viewpoint may refine a System Use Case.<BR>Presentation:<BR>A sequence diagram featuring the flow of control between SOI and Context Elements Roles of a System Context to achieve one outcome of a System Use Case.  Note: This diagram depicts the sending and receiving of messages between the interacting entities called lifelines;where time is represented along the vertical axis. The lifelines representatives are part properties typed by a System Context Elements.</html>"
"_2021x_2_8710274_1679480698224_528018_25860", "SAF_F5_SIFD", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Interface Definition Viewpoint'>System Interface Definition Viewpoint</A><BR>Purpose:<BR>The System Interface Definition Viewpoint captures system wide concepts defining interfaces. It allows to adopt long-lived standards and to harmonize conceptual interface definitions to improve interchangeability;interoperability;and portability.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring Conceptual Interface blocks with ports;and flow properties.</li><li>A tabular format listing Conceptual Interface blocks;their ports;and flow properties.</li></UL></html>"
"_19_0_1_26f0132_1548407715628_25139_43804", "SAF_F6_SRQD_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Requirement Definition Viewpoint'>System Requirement Definition Viewpoint</A><BR>Purpose:<BR>The System Requirement Definition Viewpoint specifies functions;non-functional properties;or constraints of the System. System Requirements are captured;the interrelationships between Functional and Non-Functional Requirements on the same level of abstraction and the traceability to Stakeholder Requirements are depicted.<BR>Presentation:<BR>A tabular format listing * unique requirement ID;text;and attributes;* traceability reference to Stakeholder Requirements;* traceability reference to depended Requirements on the same level of abstraction.</html>"
"_2024x_4c5019a_1724846855776_360910_2549", "SAF_F7_ASID", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/Asset Identification Viewpoint'>Asset Identification Viewpoint</A><BR>Purpose:<BR>The Asset Identification viewpoint defines the assets that must be taken into account in the risk analysis. This is the first step of the risk management process according to DIN EN ISO/IEC 27005:2024-05.<BR></html>"
"_2024x_4c5019a_1724834932932_125760_732", "SAF_F7_ASID_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/Asset Identification Viewpoint'>Asset Identification Viewpoint</A><BR>Purpose:<BR>The Asset Identification viewpoint defines the assets that must be taken into account in the risk analysis. This is the first step of the risk management process according to DIN EN ISO/IEC 27005:2024-05.<BR></html>"
"_2024x_4c5019a_1726421910225_40359_327", "SAF_F7_IMAN", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/Impact Analysis Viewpoint'>Impact Analysis Viewpoint</A><BR>Purpose:<BR>tbd<BR></html>"
"_2024x_4c5019a_1726421828345_746165_321", "SAF_F7_IMAN_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/Impact Analysis Viewpoint'>Impact Analysis Viewpoint</A><BR>Purpose:<BR>tbd<BR></html>"
"_2024x_4c5019a_1726432568406_567060_417", "SAF_F7_RIAN", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/Security Risk Analysis Viewpoint'>Security Risk Analysis Viewpoint</A><BR>Purpose:<BR>tbd<BR></html>"
"_2024x_4c5019a_1726432589722_859572_423", "SAF_F7_RIAN_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/Security Risk Analysis Viewpoint'>Security Risk Analysis Viewpoint</A><BR>Purpose:<BR>tbd<BR></html>"
"_2024x_4c5019a_1725548418126_514094_79", "SAF_F7_SECT", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/Security Context Viewpoint'>Security Context Viewpoint</A><BR>Purpose:<BR>The Security Context viewpoint defines the Security Context;that describes the environment and all security relevant aspects of a System. This is the first step of the risk management process according to DIN EN ISO/IEC 27005:2024-05.  The Security Context describes all internal and external elements;boundaries;interconnections and assumptions that referes to the security of a system or an asset. DIN ISO 31000:2018-10 defines:  "The context of the risk management process should be derived from an understanding of the external and internal environment in which the organisation operates and should reflect the specific environment of the activity to which the risk management process is applied." <BR></html>"
"_2024x_4c5019a_1725548466184_799473_85", "SAF_F7_SECT_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/Security Context Viewpoint'>Security Context Viewpoint</A><BR>Purpose:<BR>The Security Context viewpoint defines the Security Context;that describes the environment and all security relevant aspects of a System. This is the first step of the risk management process according to DIN EN ISO/IEC 27005:2024-05.  The Security Context describes all internal and external elements;boundaries;interconnections and assumptions that referes to the security of a system or an asset. DIN ISO 31000:2018-10 defines:  "The context of the risk management process should be derived from an understanding of the external and internal environment in which the organisation operates and should reflect the specific environment of the activity to which the risk management process is applied." <BR></html>"
"_2024x_4c5019a_1726432501687_212033_405", "SAF_F7_THSC", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/Threat Szenario Viewpoint'>Threat Szenario Viewpoint</A><BR>Purpose:<BR>tbd<BR></html>"
"_2024x_4c5019a_1726432538483_126898_411", "SAF_F7_THSC_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/Threat Szenario Viewpoint'>Threat Szenario Viewpoint</A><BR>Purpose:<BR>tbd<BR></html>"
"_2021x_2_6d8019d_1691055569911_434596_24894", "SAF_F8_SCYM_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Capability Mapping Viewpoint'>System Capability Mapping Viewpoint</A><BR>Purpose:<BR>The System Capability Mapping Viewpoint describes the relationships of System Capabilities. The reasoning for System Capabilities as support for System Use Cases and the contribution of System Processes to Capabilities are described. Furthermore;the mapping of System Capabilities to Operational Capabilities are identified.<BR>Presentation:<BR>A tabular format listing the relationships of System Capabilities to Operational Capabilities;System Use Cases;System Process Activities;and System Requirements.</html>"
"_19_0_4_6d8019d_1624904106285_850809_1491", "SAF_F8_SRQT_Matrix", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Requirement Traceability Viewpoint'>System Requirement Traceability Viewpoint</A><BR>Purpose:<BR>The System Requirement Traceability Viewpoint specifies for every System Requirement the traceability to the functional domain level * System Use Case * System Capability * System Context Definition * System Context Exchange * System Context Interaction * System Process * System State<BR>Presentation:<BR>A dependency matrix featuring relationships for every System Requirement to the functional domain level * System Use Case * System Capability * System Context Definition * System Context Exchange * System Context Interaction * System Process * System State</html>"
"_19_0_4_6d8019d_1629825338987_420088_594", "SAF_FunctionAction", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_26f0132_1562303524161_907005_91002'>General Functional Usage</A></html>"
"_2024x_1_26f0132_1725610111066_673801_221", "SAF_FunctionAsset", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1727855369397_570583_19'>SF is Asset in Security Context</A></html>"
"_2024x_1_26f0132_1729193328493_921636_25629", "SAF_Glossary", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_1_26f0132_1729193426484_948459_25660'>Glossary</A></html>"
"_2024x_4c5019a_1729857039097_486963_144", "SAF_ImpactedActeurs", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1729856201681_931608_163'>Affected Acteurs</A></html>"
"_2024x_2_26f0132_1757002770095_975274_15303", "SAF_InformedByEA", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_2_26f0132_1757421856918_814040_1326'>informed by</A></html>"
"_2024x_4c5019a_1727777638965_664243_26", "SAF_Integrity", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1727773842236_29260_132'>Integrity</A></html>"
"_2021x_2_8710274_1695985266083_110612_25287", "SAF_InterfaceLayerRelationship", "<html>Implementation of SAF Concepts  <ul><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_8710274_1695984535441_481088_24822'>PCPOverPCP</A></LI><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_8710274_1697109899298_943155_150586'>PCPPOverPCPP</A></LI></ul></html>"
"_2024x_1_26f0132_1729185567557_816733_16281", "SAF_IssuedBy", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_8710274_1700810378676_882309_48192'>STDissuedBySTO</A></html>"
"_19_0_4_26f0132_1625209562736_284155_381", "SAF_L2_LSTD", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Logical Domain/Logical Structure Definition Viewpoint'>Logical Structure Definition Viewpoint</A><BR>Purpose:<BR>The Logical Structure Definition Viewpoint describes how the system is decomposed into a hierarchical structure of logical elements responsible for different system functions (divide & conquer principle). It covers related logical concepts and principles that support the logical operation of the system and is widely reusable among similar systems like product families;or product generations.<BR>Presentation:<BR>A block definition diagram (BDD) featuring the logical system block and logical blocks for any kind of logical element the system is composed of. These elements are connected to the system block by means of aggregation relationships.  Note: Multiple relationships to a kind of element are allowed meaning;that this kind of element is used in several roles.</html>"
"_19_0_4_26f0132_1625209687705_869914_419", "SAF_L4_LIEX", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Logical Domain/Logical Internal Exchange Viewpoint'>Logical Internal Exchange Viewpoint</A><BR>Purpose:<BR>The Logical Internal Exchange Viewpoint serves for the identification and definition of interfaces of elements of the logical system. also;the delegation of system element interfaces to the logical system boundary interfaces is covered. The Logical Internal Exchange Viewpoint * identifies system element interfaces on a logical level * states to which other logical elements the interfaces are connected to * assigns conceptual interface definitions to interfaces * defines the usage of interfaces;e.g.;if only a subset of the interfaces is used  * defines the delegation of logical system element interfaces to the logical system boundary interfaces<BR>Presentation:<BR>One or more IBDs featuring the SOI boundary;the logical elements of the SOI;as well as the connectors for each identified SOI interface delegation to logical SOI elements. An interface is a connection resource for hooking on the logical SOI elements to other logical SOI elements. Item flows are defined for each exchange on the identified interface. Note: Please use more than one IBD focused on different areas of interest to keep the view comprehensive.</html>"
"_19_0_3_26f0132_1582319340394_382321_60610", "SAF_L4_LITI", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Logical Domain/Logical Internal Interaction Viewpoint'>Logical Internal Interaction Viewpoint</A><BR>Purpose:<BR>The Logical Internal Interaction Viewpoint describes System internal behavior based on the exchange between the Logical SOI Elements Usage. It depicts the sequence of interactions between the Logical SOI Elements and the exchanged Domain Item Kinds needed to accomplish a System Partial Function.<BR>Presentation:<BR>A sequence diagram featuring the flow of control between Internal Logical Elements of the SOI. Note: This diagram depicts the sending and receiving of messages between the interacting entities called lifelines where time is represented along the vertical axis. The lifeline representatives are part properties typed by Logical System Elements.</html>"
"_2021x_2_6d8019d_1677360534022_847905_25995", "SAF_L8_LFUM_Matrix", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Logical Domain/Logical Functional Mapping Viewpoint'>Logical Functional Mapping Viewpoint</A><BR>Purpose:<BR>The Logical Functional Mapping Viewpoint supports the definition of assignment of system functions and system partial functions to logical system elements.<BR>Presentation:<BR>A FBS to LBS mapping matrix featuring * Functional Breakdown Structure (FBS) * Logical Breakdown Structure (LBS) * Allocation from system functions and system partial functions to logical system elements</html>"
"_2024x_4c5019a_1726432199859_742406_370", "SAF_LikelihoodParameter", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1726428976637_131748_562'>Likelyhood Parameter</A></html>"
"_19_0_2_26f0132_1558076033373_157322_46890", "SAF_LogicalContext", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_26f0132_1558075086129_173532_44926'>Logical System Context</A></html>"
"_19_0_4_6d8019d_1617440763282_465948_2187", "SAF_LogicalContextElementActing", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_6d8019d_1555339282353_464909_46799'>LCEactingInSUC</A></html>"
"_19_0_4_6d8019d_1630175259198_859971_358", "SAF_LogicalContextRole", "<html>Implementation of SAF Concepts  <ul><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_8710274_1567171243005_813677_60746'>Logical Context Element Role</A></LI><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_8710274_1567171329121_821656_60902'>Logical SOI Role</A></LI></ul></html>"
"_19_0_1_26f0132_1547201742246_537565_42154", "SAF_LogicalElement", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_26f0132_1562303524176_845719_91080'>Logical Element</A></html>"
"_19_0_2_26f0132_1562313107961_803548_148677", "SAF_LogicalEnvironment", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_26f0132_1562303989622_501728_139950'>Logical Environment</A></html>"
"_19_0_1_26f0132_1547202431219_827789_42473", "SAF_LogicalExternalSystem", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_26f0132_1558075062569_130489_44874'>Logical External System</A></html>"
"_2021x_2_6d8019d_1692006392401_529537_24496", "SAF_LogicalInternalRole", "<html>Not implementing a concept</html>"
"_2024x_4c5019a_1724838612884_200901_1484", "SAF_LogicalResource", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1724751581579_977661_1588'>Intangible Resource</A></html>"
"_19_0_1_8710274_1547464060642_374530_42162", "SAF_LogicalSOI", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_26f0132_1558075212525_51415_45174'>Logical Context SOI</A></html>"
"_19_0_2_26f0132_1558076117783_295122_47010", "SAF_LogicalUser", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_8710274_1558534130432_293473_45375'>Logical User</A></html>"
"_19_0_1_26f0132_1548401929328_77241_42963", "SAF_O1_OCXD", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Operational Domain/Operational Context Definition Viewpoint'>Operational Context Definition Viewpoint</A><BR>Purpose:<BR>The Operational Context Definition Viewpoint provides the operational contexts and the involved operational performers necessary to support a specific set of operational capabilities.<BR>Presentation:<BR>A block definition diagram (BDD) featuring the identified Operational Performers playing a role in the Operational Context being addressed.</html>"
"_19_0_3_26f0132_1601646100437_337953_13001", "SAF_O1_OCXE", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Operational Domain/Operational Context Exchange Viewpoint'>Operational Context Exchange Viewpoint</A><BR>Purpose:<BR>The Operational Context Exchange Viewpoint provides the operational exchange of systems;personnel;information;material;energy;etc. between operational performers.<BR>Presentations:<BR> <UL><li>An internal block diagram (IBD) - associated to the operational context - featuring the interconnected operational performers in their respective operational role;and the operational item exchange per operational connection.</li><li>A tabular format listing [tbd].</li></UL></html>"
"_19_0_3_26f0132_1601645195786_604902_11134", "SAF_O1_OSTY", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Operational Domain/Operational Story Viewpoint'>Operational Story Viewpoint</A><BR>Purpose:<BR>The Operational Story Viewpoint * captures operational stories within operational contexts and their relation to operational performers;thus enables storytelling * illustrates the operational background from the Stakeholder perspective * serves as starting point to identify Stakeholders and/or context elements * fosters the communication among different Stakeholders<BR>Presentation:<BR>A use case diagram featuring model elements representing operational stories;the context in they're taking place and operational performers involved.  Note: Illustrations;drawings;sketches;etc.;and/or descriptions in free text may provide a comprehensive understanding of the operational mission.</html>"
"_19_0_3_26f0132_1601643834849_398612_8169", "SAF_O2_OCYD", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Operational Domain/Operational Capability Definition Viewpoint'>Operational Capability Definition Viewpoint</A><BR>Purpose:<BR>The Operational Capability Definition Viewpoint defines a taxonomy of Capabilities from a Stakeholder’s perspective including composition;specialization;and dependency relationships between Operational Capabilities.<BR>Presentation:<BR>A block definition diagram (BDD) featuring Operational Capabilities;their composition;specialization;and dependency relationships.</html>"
"_19_0_4_26f0132_1630062793069_290685_155", "SAF_O2_ODIK", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Operational Domain/Operational Domain Item Kind Viewpoint'>Operational Domain Item Kind Viewpoint</A><BR>Purpose:<BR>The Operational Domain Item Kind Viewpoint captures enterprise wide concepts and collects type definitions for any exchanged item of the Operational Domain. Its purpose is to define these item types and their relationships.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring Operational Domain Item Kinds and their relationships.</li><li>A Table featuring Operational Domain Item Kinds;their relationships and their Documentation</li></UL></html>"
"_2024x_26f0132_1717876271033_50962_14573", "SAF_O2_ODIK_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Operational Domain/Operational Domain Item Kind Viewpoint'>Operational Domain Item Kind Viewpoint</A><BR>Purpose:<BR>The Operational Domain Item Kind Viewpoint captures enterprise wide concepts and collects type definitions for any exchanged item of the Operational Domain. Its purpose is to define these item types and their relationships.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring Operational Domain Item Kinds and their relationships.</li><li>A Table featuring Operational Domain Item Kinds;their relationships and their Documentation</li></UL></html>"
"_19_0_3_26f0132_1601455842479_177976_826", "SAF_O2_OPRF", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Operational Domain/Operational Performer Definition Viewpoint'>Operational Performer Definition Viewpoint</A><BR>Purpose:<BR>The Operational Performer Definition Viewpoint represents the taxonomy of the identified Operational Performers;if existing and relevant for the understanding of the operation of the intended solution. <BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring Operational Performers. and their relations in terms of decomposition or generalization at a level of detail required for problem understanding and analysis.  Note: Identified Stakeholders are related to Operational Performers if appropriate.</li><li>A table containing operational performers;their inter relations  and relations to stakeholders</li></UL></html>"
"_2024x_26f0132_1718465296666_634864_34126", "SAF_O2_OPRF_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Operational Domain/Operational Performer Definition Viewpoint'>Operational Performer Definition Viewpoint</A><BR>Purpose:<BR>The Operational Performer Definition Viewpoint represents the taxonomy of the identified Operational Performers;if existing and relevant for the understanding of the operation of the intended solution. <BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring Operational Performers. and their relations in terms of decomposition or generalization at a level of detail required for problem understanding and analysis.  Note: Identified Stakeholders are related to Operational Performers if appropriate.</li><li>A table containing operational performers;their inter relations  and relations to stakeholders</li></UL></html>"
